start_maths,student_id,class_id,N_in_class,Ability,Inattentiveness,hyper_impulsive,Deprivation,end_maths
33,32212,8,15,0.725245982,2,1,5,47
36,34000,8,15,1.540369072,1,1,2,54
31,41894,8,15,0.839300281,1,1,5,38
32,42544,8,15,1.606816093,1,1,5,51
31,44800,8,15,0.568962372,1,1,3,46
28,45327,8,15,1.213418084,1,1,5,41
7,1031,10,17,-1.502933925,4,4,3,16
14,7570,10,17,-0.321471293,3,4,3,26
4,9078,10,17,-0.972566239,4,2,2,21
11,11874,10,17,-0.602117336,1,1,3,26
10,14443,10,17,-1.060626306,4,1,3,27
26,16400,10,17,0.170701651,2,1,3,29
24,18948,10,17,0.822725921,1,1,3,45
22,20866,10,17,0.53262628,1,4,3,39
7,31915,10,17,-0.664074652,4,5,3,22
19,34404,10,17,-0.533893792,2,1,2,48
23,36269,10,17,0.69836349,1,1,3,45
8,38103,10,17,-1.3731598,1,1,4,24
9,38454,10,17,-1.379907553,3,2,3,23
21,40078,10,17,-0.332742479,1,1,1,37
14,41034,10,17,-0.399596235,2,1,3,44
15,45851,10,17,-0.707233289,1,2,3,34
24,46414,10,17,0.471557224,1,1,2,46
10,3401,11,15,-1.141457095,1,1,4,27
5,3786,11,15,-1.876570202,2,3,4,25
9,11159,11,15,-1.268525373,2,2,3,28
22,17146,11,15,-0.25324775,1,1,5,33
17,17772,11,15,-0.286023462,2,1,3,33
12,19341,11,15,-0.932188241,1,1,3,32
7,20497,11,15,-1.369117894,3,2,3,17
23,26262,11,15,0.344488946,1,1,4,44
7,39341,11,15,-1.720286591,1,1,5,25
27,39543,11,15,0.824129437,1,1,3,51
17,40548,11,15,-0.497964435,3,3,5,24
15,40605,11,15,-1.114093076,3,1,3,30
26,41223,11,15,1.480229341,1,1,3,51
9,41952,11,15,-1.187694585,2,1,3,35
20,45207,11,15,0.05031367,1,1,3,41
14,3910,13,20,-0.343905145,4,4,3,34
25,7497,13,20,0.085795229,1,1,3,44
25,10248,13,20,0.927360348,1,1,3,42
14,13465,13,20,-0.778610477,4,4,3,30
28,15905,13,20,0.149088605,1,1,2,37
23,19219,13,20,-0.204304413,1,1,3,29
26,25860,13,20,0.003628381,1,1,1,40
9,27164,13,20,-1.329628156,1,1,3,30
31,29232,13,20,1.176152667,1,1,3,45
14,31140,13,20,-0.123846632,1,2,3,31
5,31402,13,20,-0.979313992,1,1,3,29
25,40970,13,20,0.788132624,1,1,3,50
10,42061,13,20,-1.381243612,2,2,3,27
21,42210,13,20,-0.056992876,1,1,1,22
28,42655,13,20,0.909822936,1,1,3,47
21,44558,13,20,0.185499488,1,1,3,36
27,45452,13,20,0.941710387,1,1,3,42
24,46332,13,20,0.388020589,1,1,3,40
22,47487,13,20,0.070075402,3,1,3,28
21,47525,13,20,0.190911182,2,1,3,32
24,4287,14,22,0.343152886,1,1,2,50
9,4639,14,22,-1.299076765,1,1,2,26
20,5930,14,22,-0.158921456,1,1,2,41
23,11430,14,22,1.110634971,2,1,3,53
28,14431,14,22,1.578116015,1,1,2,43
24,16742,14,22,0.195807621,1,1,3,43
23,17388,14,22,1.007370331,1,1,2,48
14,20920,14,22,-0.26848605,1,1,3,37
33,22321,14,22,1.585752029,1,1,2,54
28,23360,14,22,1.60596156,1,1,3,46
22,26680,14,22,0.189575122,1,1,3,47
18,30668,14,22,-0.554991584,1,1,2,48
19,31584,14,22,0.834030835,1,1,2,50
21,32089,14,22,0.04897761,1,1,2,35
14,34102,14,22,-0.419324239,1,1,3,50
20,35288,14,22,0.228210327,1,1,2,45
23,38735,14,22,0.076856883,1,1,2,46
19,39814,14,22,-0.149467856,1,1,3,44
19,39916,14,22,0.05976727,1,1,2,35
24,40661,14,22,0.75271852,1,1,3,47
19,45793,14,22,0.254686084,1,1,2,28
26,46047,14,22,1.01226677,1,1,2,46
