-2	3	501671	1	1	8	-1.40953786539693
-1	3	501663	3	5	8	-1.28106014166829
0	3	501675	5	5	10	-1.22986558771106
1	3	501683	1	1	10	-1.32645232823137
2	3	501684	2	1	16	-1.41203075681529
-2	2	501665	4	5	14	-1.15260776865517
-1	2	501685	4	1	10	-1.26325941577936
0	2	501678	3	1	22	-1.08451288828045
1	2	501681	1	1	16	-.808492826804136
2	2	501666	2	1	9	-.440133081366637
-2	1	501679	1	1	23	-1.12986367396068
-1	1	501668	1	2	13	-.750043474175889
0	1	501677	1	1	11	-.455073111548513
1	1	501687	1	2	22	-.630969965762732
2	1	501662	1	1	10	-.116099046203203
-2	0	501672	1	1	22	-.519465659528145
-1	0	501661	1	1	27	-.516229738485157
0	0	501676	4	5	24	-.485857052907513
1	0	501670	3	2	29	-.419194368488776
2	0	501688	3	1	25	-.580475979294398
-2	-1	501686	1	2	22	-.088816692064194
-1	-1	501680	2	1	18	.198185864552422
0	-1	501674	1	1	28	.295995370277236
1	-1	501664	1	1	29	.342288905340153
2	-1	501682	4	4	37	-.0795888578328642
-2	-2	501659	1	1	28	.82649053012708
-1	-2	501669	1	1	31	.550644625203787
0	-2	501673	1	1	33	.597664666135987
1	-2	501660	1	1	45	.515479400701487
2	-2	501667	1	1	38	1.19784731239879
