-2	3	878540	3	2	7	-.586757754500307
-1	3	878539	3	1	5	-.281659291196703
0	3	878551	2	2	15	-.683739427332742
1	3	878542	1	1	19	-.529383176808144
2	3	878543	4	4	14	-.0462483143060615
-2	2	878557	2	2	22	.114508178817345
-1	2	878547	1	1	22	.338249209578827
0	2	878544	2	3	19	1.0515253454412
1	2	878545	2	2	21	.799359589191787
2	2	878549	2	1	20	.23008516709405
-2	1	878541	1	1	17	1.08160573671389
-1	1	878548	1	1	24	.920849243590482
0	1	878546	1	1	28	.823039737865667
1	1	878568	1	1	25	.556077574218319
2	1	878566	1	1	24	.886814558156638
-2	0	878550	1	1	27	1.43685070221847
-1	0	878565	2	1	25	.704033582144109
0	0	878563	1	4	27	.710433824742917
1	0	878554	1	1	22	.992679972265019
2	0	878555	1	1	35	1.31980291845774
-2	-1	878567	1	1	21	1.63739916078289
-1	-1	878559	1	1	22	1.8402462477237
0	-1	878556	2	1	32	1.45657655673119
1	-1	878560	1	1	23	2.116092152647
2	-1	878552	1	1	25	2.14338633906647
-2	-2	878553	1	1	24	1.84634378414643
-1	-2	878561	1	1	27	2.06842914912316
0	-2	878564	1	1	35	1.58973615725905
1	-2	878558	1	1	30	1.99791382981782
2	-2	878562	1	1	40	2.32420894311816
