-2	3	368395	1	1	12	-.844957447770284
-1	3	368409	1	1	10	-.882764781602646
0	3	368391	1	1	15	-.557566644518581
1	3	368382	1	1	13	-.257212758029028
2	3	368415	1	1	14	-.407954970808032
-2	2	368376	1	1	19	-.611764343170659
-1	2	368377	1	1	23	-.579591127407704
0	2	368411	1	1	15	-.148561139067433
1	2	368384	1	1	20	-.177813697447742
2	2	368385	1	1	22	-.299303351846437
-2	1	368401	1	1	10	-.133545540179836
-1	1	368371	1	1	25	.127284765855861
0	1	368380	1	1	25	-.176985864555363
1	1	368369	1	1	15	.332615351473814
2	1	368383	1	1	23	.0304857844270205
-2	0	368407	1	1	27	.187445548401238
-1	0	368389	1	1	24	.184659343548024
0	0	368386	1	1	33	.00745077724192387
1	0	368379	1	1	24	.392776134019192
2	0	368374	1	1	32	.372691571695342
-2	-1	368393	1	1	27	.681422524140101
-1	-1	368399	1	1	26	.847486271033343
0	-1	368372	1	1	35	.543104140586971
1	-1	368387	1	1	24	1.33619354324185
2	-1	368405	1	1	29	.991790690974056
-2	-2	368419	1	1	24	1.51701614729355
-1	-2	368403	1	1	27	.862770254908096
0	-2	368417	1	1	38	.362355486330942
1	-2	368413	1	1	29	.977822116468499
2	-2	368397	1	1	36	1.20766068365271
