-2	3	393770	2	2	10	-.275517462085824
-1	3	499318	4	2	23	-.210488798400599
0	3	393808	4	5	14	-.0631164624602851
1	3	393819	3	2	22	-.269507363552767
2	3	393782	2	3	22	-.0383057747179482
-2	2	393789	1	1	17	-.0634243381501281
-1	2	393788	2	1	17	.0128866930605535
0	2	393824	2	1	13	.571588445713181
1	2	393840	1	2	28	.323240003345219
2	2	393836	1	1	19	.723158491384565
-2	1	393821	3	4	26	.449270958422107
-1	1	393772	2	1	28	.200719239918287
0	1	393797	1	2	23	.761597497216897
1	1	393800	1	1	31	.705050752417113
2	1	393831	3	1	27	.42446027067977
-2	0	393827	2	1	30	.65934612085411
-1	0	393780	2	4	22	.25809381761045
0	0	393804	4	1	33	.469337069350394
1	0	393791	1	2	25	.877514741909163
2	0	393785	1	1	31	.984207988909923
-2	-1	393811	2	1	36	1.34058349348296
-1	-1	393802	3	1	40	.861890501618849
0	-1	393794	4	1	25	.822283406478576
1	-1	393790	1	1	29	1.2444296535429
2	-1	393769	1	1	36	1.34419753122855
-2	-2	393787	1	1	35	1.0315307360182
-1	-2	393774	1	1	36	1.71196114476992
0	-2	393778	1	2	36	1.84788608113574
1	-2	393817	1	2	31	2.12373198605903
2	-2	393776	1	1	38	1.79856741182714
